county,lat,long
Alameda,37.648081,-121.913304
Alpine,38.61761,-119.798999
Amador,38.44355,-120.653856
Butte,39.665959,-121.601919
Calaveras,38.187844,-120.555115
Colusa,39.177739,-122.237563
Contra Costa,37.919479,-121.951543
Del Norte,41.749903,-123.980998
El Dorado,38.785532,-120.534398
Fresno,36.761006,-119.655019
Glenn,39.602546,-122.4017
Humboldt,40.706673,-123.925818
Imperial,33.040816,-115.355395
Inyo,36.561977,-117.403927
Kern,35.346629,-118.729506
Kings,36.072478,-119.81553
Lake,39.094802,-122.746757
Lassen,40.721089,-120.629931
Los Angeles,34.196398,-118.261862
Madera,37.210039,-119.749852
Marin,38.051817,-122.745974
Mariposa,37.570034,-119.91286
Mendocino,39.432388,-123.442881
Merced,37.194806,-120.722802
Modoc,41.592919,-120.71837
Mono,37.915836,-118.875167
Monterey,36.240107,-121.315573
Napa,38.507351,-122.325995
Nevada,39.295191,-120.773446
Orange,33.675687,-117.777207
Placer,39.062032,-120.722718
Plumas,39.99517,-120.829516
Riverside,33.729828,-116.002239
Sacramento,38.450011,-121.340441
San Benito,36.610702,-121.085296
San Bernardino,34.85722,-116.181197
San Diego,33.023604,-116.776117
San Francisco,37.727239,-123.032229
San Joaquin,37.935034,-121.272237
San Luis Obispo,35.385227,-120.44754
San Mateo,37.414664,-122.371542
Santa Barbara,34.537378,-120.038485
Santa Clara,37.220777,-121.690622
Santa Cruz,37.012488,-122.007205
Shasta,40.760522,-122.04355
Sierra,39.576925,-120.521993
Siskiyou,41.587986,-122.533287
Solano,38.267226,-121.939594
Sonoma,38.532574,-122.945194
Stanislaus,37.562384,-121.002656
Sutter,39.035257,-121.702758
Tehama,40.126156,-122.232276
Trinity,40.647724,-123.114404
Tulare,36.230453,-118.780542
Tuolumne,38.021451,-119.964708
Ventura,34.358742,-119.133143
Yolo,38.679268,-121.903178
Yuba,39.270026,-121.34428