park,lat,long
Alamo Square Park,37.776347,-122.434522
Balboa Park,37.725352,-122.444784
Bernal Heights Recreation Center,37.743206,-122.413478
Boeddeker Park,37.784332,-122.412271
Chinese Recreation Center,37.794129,-122.411941
Civic Center Plaza,37.779415,-122.41763
Corona Heights,37.765229,-122.439213
Crocker Amazon Playground,37.714292,-122.429464
Duboce Park,37.769566,-122.432736
Eureka Valley Rec Center,37.75966,-122.436464
Gene Friend Recreation Center,37.778589,-122.406332
Hamilton Recreation Center,37.784511,-122.436009
Huntington Park,37.792359,-122.412387
Joseph Recreation Center,37.734757,-122.389917
Margaret Hayward Playground,37.780712,-122.42601
Marina Green,37.806647,-122.439413
Minnie and Lovie Ware Recreational Center,37.715874,-122.457915
Mission Dolores Park,37.760375,-122.426973
Mission Rec Center,37.758006,-122.412901
Palega Recreation Center,37.729619,-122.409623
Portsmouth Square,37.794849,-122.405579
Richmond Recreation Center,37.78335,-122.47828
St. Mary's Square,37.791881,-122.405006
Sue Bierman Park,37.79597,-122.3962
Sunnyside Park,37.733628,-122.447752
Tenderloin Children's Playground,37.784834,-122.415217
Union Square,37.78791,-122.40734
Upper Noe Recreation Center,37.742443,-122.427597
Washington Square,37.80085,-122.410418